team, year, class, status, gender
Northwood, 1975, Combined, Champion, Girls
Bel Air, 1975, Combined, Finalist, Girls
B-CC, 1976, AA, Champion, Girls
Friendly, 1976, AA, Finalist, Girls
Seneca Valley, 1976, ABC, Champion, Girls
Northwood, 1976, ABC, Finalist, Girls
Northwood, 1977, AA, Champion, Girls
Churchill, 1977, AA, Finalist, Girls
B-CC, 1977, ABC, Champion, Girls
Oxon Hill, 1977, ABC, Finalist, Girls
Northwood, 1978, AA, Champion, Girls
Churchill, 1978, AA, Finalist, Girls
B-CC, 1978, A, Champion, Girls
Eleanor Roosevelt, 1978, A, Finalist, Girls
Hereford, 1978, B, Champion, Girls
Williamsport, 1978, B, Finalist, Girls
Smithsburg, 1978, C, Champion, Girls
Boonsboro, 1978, C, Finalist, Girls
Churchill, 1979, AA, Champion, Girls
Blair, 1979, AA, Finalist, Girls
Seneca Valley, 1979, A, Champion, Girls
B-CC, 1979, A, Finalist, Girls
Hereford, 1979, B, Champion, Girls
Sherwood, 1979, B, Finalist, Girls
Williamsport, 1979, C, Champion, Girls
Smithsburg, 1979, C, Finalist, Girls
Towson, 1980, AA, Champion, Girls
Churchill, 1980, AA, Finalist, Girls
Seneca Valley, 1980, A, Champion, Girls
Rockville, 1980, A, Finalist, Girls
Hereford, 1980, B, Champion, Girls
Frederick, 1980, B, Finalist, Girls
Williamsport, 1980, C, Champion, Girls
Middletown, 1980, C, Finalist, Girls
Dulaney, 1981, AA, Champion, Girls
Crossland, 1981, AA, Finalist, Girls
McDonough, 1981, A, Champion, Girls
Towson, 1981, A, Finalist, Girls
Williamsport, 1981, B, Champion, Girls
Frederick, 1981, B, Finalist, Girls
Middletown, 1981, C, Champion, Girls
Boonsboro, 1981, C, Finalist, Girls
Crossland, 1982, AA, Champion, Girls
Dulaney, 1982, AA, Finalist, Girls
Towson, 1982, A, Champion, Girls
Loch Raven, 1982, A, Finalist, Girls
Williamsport, 1982, B, Champion, Girls
North Carroll, 1982, B, Finalist, Girls
Brunswick, 1982, C, Champion, Girls
Walkersville, 1982, C, Finalist, Girls
Crossland, 1983, AA, Champion, Girls
Westminster, 1983, AA, Finalist, Girls
Kennedy, 1983, A, Champion, Girls
Loch Raven, 1983, A, Finalist, Girls
North Carroll, 1983, B, Champion, Girls
Glenelg, 1983, B, Finalist, Girls
Brunswick, 1983, C, Champion, Girls
Walkersville, 1983, C, Finalist, Girls
Westminster, 1984, AA, Champion, Girls
Bowie, 1984, AA, Finalist, Girls
Towson, 1984, A, Champion, Girls
McDonough, 1984, A, Finalist, Girls
North Carroll, 1984, B, Champion, Girls
Hereford, 1984, B, Finalist, Girls
Boonsboro, 1984, C, Champion, Girls
Smithsburg, 1984, C, Finalist, Girls
Laurel, 1985, AA, Champion, Girls
Churchill, 1985, AA, Finalist, Girls
North Carroll, 1985, A, Champion, Girls
Loch Raven, 1985, A, Finalist, Girls
Woodward, 1985, B, Champion, Girls
C. Milton Wright, 1985, B, Finalist, Girls
Brunswick, 1985, C, Champion, Girls
Smithsburg, 1985, C, Finalist, Girls
Eleanor Roosevelt, 1986, AA, Champion, Girls
Laurel, 1986, AA, Finalist, Girls
North Carroll, 1986, A, Champion, Girls
Loch Raven, 1986, A, Finalist, Girls
North Harford, 1986, B-C, Champion, Girls
Atholton, 1986, B-C, Finalist, Girls
Severna Park, 1987, AA, Champion, Girls
Eleanor Roosevelt, 1987, AA, Finalist, Girls
North Hagerstown, 1987, A, Champion, Girls
Laurel, 1987, A, Finalist, Girls
Atholton, 1987, B-C, Champion, Girls
Centennial, 1987, B-C, Finalist, Girls
Eleanor Roosevelt, 1988, 4A, Champion, Girls
Whitman, 1988, 4A, Finalist, Girls
C. Milton Wright, 1988, 3A, Champion, Girls
Frederick, 1988, 3A, Finalist, Girls
Atholton, 1988, 2A-1A, Champion, Girls
Allegany, 1988, 2A-1A, Finalist, Girls
Frederick, 1989, 4A, Champion, Girls
Whitman, 1989, 4A, Finalist, Girls
Great Mills, 1989, 3A, Champion, Girls
Leonardtown, 1989, 3A, Finalist, Girls
Atholton, 1989, 2A, Champion, Girls
Glenelg, 1989, 2A, Finalist, Girls
Boonsboro, 1989, 1A, Champion, Girls
Brunswick, 1989, 1A, Finalist, Girls
Whitman, 1990, 4A, Champion, Girls
Frederick, 1990, 4A, Finalist, Girls
Centennial, 1990, 3A, Champion, Girls
Liberty, 1990, 3A, Finalist, Girls
Glenelg, 1990, 2A, Champion, Girls
Middletown, 1990, 2A, Finalist, Girls
Boonsboro, 1990, 1A, Champion, Girls
Brunswick, 1990, 1A, Finalist, Girls
Churchill, 1991, 4A, Champion, Girls
Quince Orchard, 1991, 4A, Finalist, Girls
Whitman, 1991, 3A, Champion, Girls
Walter Johnson, 1991, 3A, Finalist, Girls
Middletown, 1991, 2A, Champion, Girls
Loch Raven, 1991, 2A, Finalist, Girls
Brunswick, 1991, 1A, Champion, Girls
Boonsboro, 1991, 1A, Finalist, Girls
Dulaney, 1992, 4A, Champion, Girls
Quince Orchard, 1992, 4A, Finalist, Girls
Whitman, 1992, 3A, Champion, Girls
Walter Johnson, 1992, 3A, Finalist, Girls
Middletown, 1992, 2A, Champion, Girls
Glenelg, 1992, 2A, Finalist, Girls
Brunswick, 1992, 1A, Champion, Girls
Boonsboro, 1992, 1A, Finalist, Girls
Perry Hall, 1993, 4A, Champion, Girls
Dulaney, 1993, 4A, Finalist, Girls
Linganore, 1993, 3A, Champion, Girls
Walter Johnson, 1993, 3A, Finalist, Girls
Catonsville, 1993, 2A, Champion, Girls
Fallston, 1993, 2A, Finalist, Girls
Brunswick, 1993, 1A, Champion, Girls
Boonsboro, 1993, 1A, Finalist, Girls
Dulaney, 1994, 4A, Champion, Girls
Quince Orchard, 1994, 4A, Finalist, Girls
Linganore, 1994, 3A, Champion, Girls
C.M. Wright, 1994, 3A, Finalist, Girls
Damascus, 1994, 2A, Champion, Girls
Catonsville, 1994, 2A, Finalist, Girls
Boonsboro, 1994, 1A, Champion, Girls
Francis Scott Key, 1994, 1A, Finalist, Girls
Dulaney, 1995, 4A, Champion, Girls
Whitman, 1995, 4A, Finalist, Girls
Frederick, 1995, 3A, Champion, Girls
Damascus, 1995, 3A, Finalist, Girls
Linganore, 1995, 2A, Champion, Girls
Oakland Mills, 1995, 2A, Finalist, Girls
Boonsboro, 1995, 1A, Champion, Girls
Southern Garrett, 1995, 1A, Finalist, Girls
Dulaney, 1996, 4A, Champion, Girls
Quince Orchard, 1996, 4A, Finalist, Girls
Walter Johnson, 1996, 3A, Champion, Girls
C. Milton Wright, 1996, 3A, Finalist, Girls
Wilde Lake, 1996, 2A, Champion, Girls
Catonsville, 1996, 2A, Finalist, Girls
Southern Garrett, 1996, 1A, Champion, Girls
Hereford, 1996, 1A, Finalist, Girls
Dulaney, 1997, 4A, Champion, Girls
Severna Park, 1997, 4A, Finalist, Girls
Walter Johnson, 1997, 3A, Champion, Girls
Wilde Lake, 1997, 3A, Finalist, Girls
Middletown, 1997, 2A, Champion, Girls
Mt. Hebron, 1997, 2A, Finalist, Girls
Allegany, 1997, 1A, Champion, Girls
Southern Garrett, 1997, 1A, Finalist, Girls
Severna Park, 1998, 4A, Champion, Girls
Dulaney, 1998, 4A, Finalist, Girls
Walter Johnson, 1998, 3A, Champion, Girls
Broadneck, 1998, 3A, Finalist, Girls
Middletown, 1998, 2A, Champion, Girls
Mt. Hebron, 1998, 2A, Finalist, Girls
Allegany, 1998, 1A, Champion, Girls
Glenelg, 1998, 1A, Finalist, Girls
C. Milton Wright, 1999, 4A, Champion, Girls
Dulaney, 1999, 4A, Finalist, Girls
Walter Johnson, 1999, 3A, Champion, Girls
North Carroll, 1999, 3A, Finalist, Girls
Middletown, 1999, 2A, Champion, Girls
Catonsville, 1999, 2A, Finalist, Girls
Southern Garrett, 1999, 1A, Champion, Girls
Glenelg, 1999, 1A, Finalist, Girls
C. Milton Wright, 2000, 4A, Champion, Girls
Dulaney, 2000, 4A, Finalist, Girls
North Carroll, 2000, 3A, Champion, Girls
River Hill, 2000, 3A, Finalist, Girls
Middletown, 2000, 2A, Champion, Girls
Linganore, 2000, 2A, Finalist, Girls
Smithsburg, 2000, 1A, Champion, Girls
Glenelg, 2000, 1A, Finalist, Girls
Quince Orchard, 2001, 4A, Champion, Girls
C. Milton Wright, 2001, 4A, Finalist, Girls
Dulaney, 2001, 3A, Champion, Girls
North Carroll, 2001, 3A, Finalist, Girls
Towson, 2001, 2A, Champion, Girls
Glenelg, 2001, 2A, Finalist, Girls
Smithsburg, 2001, 1A, Champion, Girls
Beall, 2001, 1A, Finalist, Girls
Broadneck, 2002, 4A, Champion, Girls
C. Milton Wright, 2002, 4A, Finalist, Girls
Northwest, 2002, 3A, Champion, Girls
Walter Johnson, 2002, 3A, Finalist, Girls
Bethesda-CC, 2002, 2A, Champion, Girls
Hereford, 2002, 2A, Finalist, Girls
Williamsport, 2002, 1A, Champion, Girls
Southern Garrett, 2002, 1A, Finalist, Girls
Broadneck, 2003, 4A, Champion, Girls
Eleanor Roosevelt, 2003, 4A, Finalist, Girls
Northwest, 2003, 3A, Champion, Girls
C. Milton Wright, 2003, 3A, Finalist, Girls
Glenelg, 2003, 2A, Champion, Girls
Hereford, 2003, 2A, Finalist, Girls
Williamsport, 2003, 1A, Champion, Girls
Loch Raven, 2003, 1A, Finalist, Girls
Eleanor Roosevelt, 2004, 4A, Champion, Girls
Dulaney, 2004, 4A, Finalist, Girls
C.M. Wright, 2004, 3A, Champion, Girls
Northwest, 2004, 3A, Finalist, Girls
Hereford, 2004, 2A, Champion, Girls
Winters Mill, 2004, 2A, Finalist, Girls
Loch Raven, 2004, 1A, Champion, Girls
Williamsport, 2004, 1A, Finalist, Girls
Eleanor Roosevelt, 2005, 4A, Champion, Girls
Dulaney, 2005, 4A, Finalist, Girls
Severna Park, 2005, 3A, Champion, Girls
River Hill, 2005, 3A, Finalist, Girls
Hereford, 2005, 2A, Champion, Girls
Century, 2005, 2A, Finalist, Girls
Williamsport, 2005, 1A, Champion, Girls
Digital Harbor, 2005, 1A, Finalist, Girls
Eleanor Roosevelt, 2006, 4A, Champion, Girls
Dulaney, 2006, 4A, Finalist, Girls
Severna Park, 2006, 3A, Champion, Girls
River Hill, 2006, 3A, Finalist, Girls
Howard, 2006, 2A, Champion, Girls
Hereford, 2006, 2A, Finalist, Girls
Smithsburg, 2006, 1A, Champion, Girls
Williamsport, 2006, 1A, Finalist, Girls
C.M. Wright, 2007, 4A, Champion, Girls
Eleanor Roosevelt, 2007, 4A, Finalist, Girls
Howard, 2007, 3A, Champion, Girls
Hereford, 2007, 3A, Finalist, Girls
River Hill, 2007, 2A, Champion, Girls
Century, 2007, 2A, Finalist, Girls
South Carroll, 2007, 1A, Champion, Girls
Bohemia Manor, 2007, 1A, Finalist, Girls
C.M. Wright, 2008, 4A, Champion, Girls
Northwest, 2008, 4A, Finalist, Girls
Towson, 2008, 3A, Champion, Girls
Hereford, 2008, 3A, Finalist, Girls
River Hill, 2008, 2A, Champion, Girls
Century, 2008, 2A, Finalist, Girls
Bohemia Manor, 2008, 1A, Champion, Girls
South Carroll, 2008, 1A, Finalist, Girls
Severna Park, 2009, 4A, Champion, Girls
Thomas Johnson, 2009, 4A, Finalist, Girls
River Hill, 2009, 3A, Champion, Girls
Hereford, 2009, 3A, Finalist, Girls
Century, 2009, 2A, Champion, Girls
Bel Air, 2009, 2A, Finalist, Girls
Bohemia Manor, 2009, 1A, Champion, Girls
Smithsburg, 2009, 1A, Finalist, Girls
Walt Whitman, 2010, 4A, Champion, Girls
Northwest, 2010, 4A, Finalist, Girls
Hereford, 2010, 3A, Champion, Girls
Mount Hebron, 2010, 3A, Finalist, Girls
Century, 2010, 2A, Champion, Girls
Bel Air, 2010, 2A, Finalist, Girls
Bohemia Manor, 2010, 1A, Champion, Girls
Loch Raven, 2010, 1A, Finalist, Girls
Bethesda-CC, 2011, 4A, Champion, Girls
Whitman, 2011, 4A, Finalist, Girls
Hereford, 2011, 3A, Champion, Girls
River Hill, 2011, 3A, Finalist, Girls
Century, 2011, 2A, Champion, Girls
South Carroll, 2011, 2A, Finalist, Girls
Bohemia Manor, 2011, 1A, Champion, Girls
Boonsboro, 2011, 1A, Finalist, Girls
Bethesda-CC, 2012, 4A, Champion, Girls
Quince Orchard, 2012, 4A, Finalist, Girls
Reservoir, 2012, 3A, Champion, Girls
Centennial, 2012, 3A, Finalist, Girls
Calvert, 2012, 2A, Champion, Girls
Oakland Mills, 2012, 2A, Finalist, Girls
Boonsboro, 2012, 1A, Champion, Girls
Manchester Valley, 2012, 1A, Finalist, Girls
Walter Johnson, 2013, 4A, Champion, Girls
Bethesda-CC, 2013, 4A, Finalist, Girls
Centennial, 2013, 3A, Champion, Girls
River Hill, 2013, 3A, Finalist, Girls
Hereford, 2013, 2A, Champion, Girls
Poolesville, 2013, 2A, Finalist, Girls
Cambridge/SD, 2013, 1A, Champion, Girls
Smithsburg, 2013, 1A, Finalist, Girls
Walter Johnson, 2014, 4A, Champion, Girls
Bethesda-CC, 2014, 4A, Finalist, Girls
River Hill, 2014, 3A, Champion, Girls
Albert Einstein, 2014, 3A, Finalist, Girls
Liberty, 2014, 2A, Champion, Girls
Hereford, 2014, 2A, Finalist, Girls
Smithsburg, 2014, 1A, Champion, Girls
Bohemia Manor, 2014, 1A, Finalist, Girls
Walter Johnson, 2015, 4A, Champion, Girls
Dulaney, 2015, 4A, Finalist, Girls
Centennial, 2015, 3A, Champion, Girls
Northern-Calvert, 2015, 3A, Finalist, Girls
Hereford, 2015, 2A, Champion, Girls
Century, 2015, 2A, Finalist, Girls
Boonsboro, 2015, 1A, Champion, Girls
Smithsburg, 2015, 1A, Finalist, Girls
Walter Johnson, 2016, 4A, Champion, Girls
Thomas Wootton, 2016, 4A, Finalist, Girls
Northern-Calvert, 2016, 3A, Champion, Girls
River Hill, 2016, 3A, Finalist, Girls
Hereford, 2016, 2A, Champion, Girls
Catoctin, 2016, 2A, Finalist, Girls
Boonsboro, 2016, 1A, Champion, Girls
Northern-Garrett, 2016, 1A, Finalist, Girls
Walter Johnson, 2017, 4A, Champion, Girls
Severna Park, 2017, 4A, Finalist, Girls
Northern-Calvert, 2017, 3A, Champion, Girls
C. Milton Wright, 2017, 3A, Finalist, Girls
Hereford, 2017, 2A, Champion, Girls
River Hill, 2017, 2A, Finalist, Girls
Boonsboro, 2017, 1A, Champion, Girls
Brunswick, 2017, 1A, Finalist, Girls
Severna Park, 2018, 4A, Champion, Girls
Howard, 2018, 4A, Finalist, Girls
Northern-Calvert, 2018, 3A, Champion, Girls
Bel Air, 2018, 3A, Finalist, Girls
Hereford, 2018, 2A, Champion, Girls
Oakdale, 2018, 2A, Finalist, Girls
Boonsboro, 2018, 1A, Champion, Girls
Brunswick, 2018, 1A, Finalist, Girls
Howard, 2019, 4A, Champion, Girls
Severna Park, 2019, 4A, Finalist, Girls
Northern-Calvert, 2019, 3A, Champion, Girls
Bel Air, 2019, 3A, Finalist, Girls
Liberty, 2019, 2A, Champion, Girls
Middletown, 2019, 2A, Finalist, Girls
Northern-Garrett, 2019, 1A, Champion, Girls
Brunswick, 2019, 1A, Finalist, Girls
Walter Johnson, 2021, 4A, Champion, Girls
Broadneck, 2021, 4A, Finalist, Girls
Howard, 2021, 3A, Champion, Girls
Northern-Calvert, 2021, 3A, Finalist, Girls
Hereford, 2021, 2A, Champion, Girls
Liberty, 2021, 2A, Finalist, Girls
Northern-Garrett, 2021, 1A, Champion, Girls
Smithsburg, 2021, 1A, Finalist, Girls
Severna Park, 2022, 4A, Champion, Girls
Walter Johnson, 2022, 4A, Finalist, Girls
Towson, 2022, 3A, Champion, Girls
Frederick, 2022, 3A, Finalist, Girls
Hereford, 2022, 2A, Champion, Girls
Poolesville, 2022, 2A, Finalist, Girls
Northern-Garrett, 2022, 1A, Champion, Girls
Smithsburg, 2022, 1A, Finalist, Girls
Walter Johnson, 2023, 4A, Champion, Girls
Frederick, 2023, 4A, Finalist, Girls
Severna Park, 2023, 3A, Champion, Girls
Howard, 2023, 3A, Finalist, Girls
Hereford, 2023, 2A, Champion, Girls
Centennial, 2023, 2A, Finalist, Girls
Smithsburg, 2023, 1A, Champion, Girls
Harford Technical, 2023, 1A, Finalist, Girls
Catonsville, 1946, A, Champion, Boys
None, 1946, A, Finalist, Boys
Dundalk, 1946, B, Champion, Boys
Bel Air, 1946, B, Finalist, Boys
Brunswick, 1946, C, Champion, Boys
None, 1946, C, Finalist, Boys
Pittsville, 1946, D, Champion, Boys
None, 1946, D, Finalist, Boys
Hagerstown, 1947, A, Champion, Boys
Catonsville, 1947, A, Finalist, Boys
Bel Air, 1947, B, Champion, Boys
None, 1947, B, Finalist, Boys
Brunswick, 1947, C, Champion, Boys
None, 1947, C, Finalist, Boys
Old Post, 1947, D, Champion, Boys
Pittsville, 1947, D, Finalist, Boys
Hagerstown, 1948, A, Champion, Boys
Dundalk, 1948, A, Finalist, Boys
Bel Air, 1948, B, Champion, Boys
None, 1948, B, Finalist, Boys
Brunswick, 1948, C, Champion, Boys
None, 1948, C, Finalist, Boys
Elkridge, 1948, D, Champion, Boys
Old Post, 1948, D, Finalist, Boys
Hagerstown, 1949, A, Champion, Boys
Dundalk, 1949, A, Finalist, Boys
Elkridge, 1949, B, Champion, Boys
Washington, 1949, B, Finalist, Boys
Pittsville, 1949, C, Champion, Boys
None, 1949, C, Finalist, Boys
Towson, 1950, A, Champion, Boys
None, 1950, A, Finalist, Boys
Towson, 1952, A, Champion, Boys
Catonsville, 1952, A, Finalist, Boys
None, 1952, B, Champion, Boys
None, 1952, B, Finalist, Boys
Ocean City, 1952, C, Champion, Boys
None, 1952, C, Finalist, Boys
Towson, 1953, A, Champion, Boys
Catonsville, 1953, A, Finalist, Boys
Towson, 1954, A, Champion, Boys
Montgomery Blair, 1954, A, Finalist, Boys
Towson, 1955, A, Champion, Boys
Montgomery Blair, 1955, A, Finalist, Boys
Ocean City, 1955, C, Champion, Boys
None, 1955, C, Finalist, Boys
Kenwood, 1956, A, Champion, Boys
Montgomery Blair, 1956, A, Finalist, Boys
Centreville, 1956, C, Champion, Boys
None, 1956, C, Finalist, Boys
Montgomery Blair, 1957, A, Champion, Boys
Kenwood, 1957, A, Finalist, Boys
Hereford, 1957, B, Champion, Boys
Arundel, 1957, B, Finalist, Boys
Kenwood, 1958, A, Champion, Boys
Dundalk, 1958, A, Finalist, Boys
Hereford, 1958, B, Champion, Boys
Damascus, 1958, B, Finalist, Boys
South Dorchester, 1958, C, Champion, Boys
None, 1958, C, Finalist, Boys
Catonsville, 1959, A, Champion, Boys
Kenwood, 1959, A, Finalist, Boys
Hereford, 1959, B, Champion, Boys
Easton, 1959, B, Finalist, Boys
South Dorchester, 1959, C, Champion, Boys
Harriet Tubman, 1959, C, Finalist, Boys
Catonsville, 1960, AA, Champion, Boys
Dundalk, 1960, AA, Finalist, Boys
Bel Air, 1960, A, Champion, Boys
Fairmont Heights/Beall, 1960, A, Finalist, Boys
Hereford, 1960, B, Champion, Boys
Damascus, 1960, B, Finalist, Boys
Havre de Grace, 1960, C, Champion, Boys
Central Consolidated, 1960, C, Finalist, Boys
Dundalk, 1961, AA, Champion, Boys
Bethesda-CC, 1961, AA, Finalist, Boys
Gaithersburg, 1961, A, Champion, Boys
Brooklyn Park, 1961, A, Finalist, Boys
Damascus, 1961, B, Champion, Boys
Hereford, 1961, B, Finalist, Boys
Central Consolidated, 1961, C, Champion, Boys
Leonardtown, 1961, C, Finalist, Boys
Kenwood, 1962, AA, Champion, Boys
Northwood, 1962, AA, Finalist, Boys
Springbrook, 1962, A, Champion, Boys
Brooklyn Park, 1962, A, Finalist, Boys
Hereford, 1962, B, Champion, Boys
Sykesville, 1962, B, Finalist, Boys
Harriet Tubman, 1962, C, Champion, Boys
Somerset, 1962, C, Finalist, Boys
Montgomery Blair, 1963, AA, Champion, Boys
Dundalk, 1963, AA, Finalist, Boys
Bel Air, 1963, A, Champion, Boys
Franklin, 1963, A, Finalist, Boys
Sykesville, 1963, B, Champion, Boys
Middletown, 1963, B, Finalist, Boys
Harriet Tubman, 1963, C, Champion, Boys
Central Consolidated, 1963, C, Finalist, Boys
