Coach Name,Number of State Titles,School
Lillian Shelton,20,Severna Park
Susan Pusey,16,Pocomoke
Alice Puckett,11,Fallston
Amy Wood,10,Bethesda-Chevy Chase
Brenda Baker,5,South Carroll
Brenda Baker,5,Westminster
Sue Hooper,5,Westminster
Debbie Main Phebus,5,Middletown
Tammy Mundie,4,Hereford
Marie Wilson,4,Francis Scott Key
Michael Carroll,3,Bethesda-Chevy Chase
Martha Milbrada,3,Easton
Ginger Kincaid,3,Glenelg
Caitlin MacKenzie Duvall,3,Hereford
Brenda Strohmer,3,Liberty
Pat Westcott,3,Pocomoke
Ann Andrews,3,Severna Park
Megan Atkinson,3,South River
Mary Rivera,3,Westminster