team,year,class,status,gender
Aberdeen,2003,2AE,CH,Boys
Aberdeen,2011,3AN,SF,Boys
Aberdeen,1986,2A,QF,Boys
Aberdeen,1989,2A,QF,Boys
Aberdeen,1991,3A,QF,Boys
Aberdeen,1994,2A,QF,Boys
Aberdeen,1996,2A,QF,Boys
Aberdeen,1997,3A,QF,Boys
Aberdeen,2004,2AE,RR,Boys
Aberdeen,2013,3AN,RS,Boys
Aberdeen,2014,3AN,RS,Boys
Aberdeen,2015,3AN,RS,Boys
Aberdeen,2021,3AN,RR1,Boys
Aberdeen,2022,3AN,RR1,Boys
Aberdeen,2023,3AN,RR1,Boys
Alleghany,1992,2A,RR,Boys
Alleghany,1993,2A,QF,Boys
Alleghany,1998,2A,RR,Boys
Alleghany,2000,2AE,SF,Boys
Alleghany,2002,2AE,SF,Boys
Alleghany,2004,2AE,QF,Boys
Alleghany,2005,2AE,SF,Boys
Alleghany,2012,3AN,RS,Boys
Alleghany,2016,3AN,RS,Boys
Alleghany,2018,3AN,RS,Boys
Alleghany,2019,3AN,RR1,Boys
Alleghany,2020,3AN,RR1,Boys
Alleghany,2021,3AN,RR1,Boys
Andover,1985,2A,QF,Boys
Andover,1986,2A,RR,Boys
Andover,1995,3A,SF,Boys
Andover,1997,3A,CH,Boys
Andover,1998,3A,CH,Boys
Andover,2000,2A,RS,Boys
Andover,2003,2AE,RS,Boys
Andover,2004,2AE,RS,Boys
Andover,2007,2AE,SF,Boys
Andover,2015,3AN,RS,Boys
Andover,2016,3AN,RR1,Boys
Andover,2017,3AN,RR1,Boys
Andover,2021,3AN,RS,Boys
,,,,Boys
Arundel,1975,AA,CH,Boys
Arundel,1979,A,RU,Boys
Arundel,2007,4AE,RU,Boys
Arundel,2022,4A/3AE,RU,Boys
Arundel,1976,AA,SF,Boys
Arundel,1978,A,SF,Boys
Arundel,1983,AA,SF,Boys
Arundel,2008,4AE,SF,Boys
Arundel,2021,4A/3AE,SF,Boys
Arundel,1985,AA,QF,Boys
Arundel,1994,4A,QF,Boys
Arundel,1995,4A,QF,Boys
Arundel,2019,4AE,QF,Boys
Arundel,2005,4AE,RR,Boys
Arundel,2009,4AE,RR,Boys
Arundel,2010,4AE,RR,Boys
Arundel,2013,4AE,RR,Boys
Arundel,2014,4AE,RR,Boys
Arundel,2003,4AE,RS,Boys
Arundel,2004,4AE,RS,Boys
Arundel,2006,4AE,RS,Boys
Arundel,2011,4AE,RS,Boys
Arundel,2012,4AE,RS,Boys
Arundel,2017,4AE,RS,Boys
Arundel,2018,4AE,RS,Boys
Arundel,2023,3AS,RR2,Boys
Atholton,1985,B,QF,Boys
Atholton,2021,3AS,QF,Boys
Atholton,2022,3AS,QF,Boys
Atholton,2005,2AS,RR,Boys
Atholton,2009,3AE,RR,Boys
Atholton,2011,3AE,RR,Boys
Atholton,2012,3AE,RR,Boys
Atholton,2017,3AE,RR,Boys
Atholton,2007,3AE,RS,Boys
Atholton,2010,3AE,RS,Boys
Atholton,2023,3AE,RR2,Boys
Atholton,2019,3AE,RR1,Boys
x-Samuel Banks,2005,1AS,RS,Boys
x-Beall,1993,1A,RU,Boys
x-Beall,1997,1A,RU,Boys
x-Beall,2002,1A,RU,Boys
x-Beall,2003,1AW,RU,Boys
x-Beall,1975,C,SF,Boys
x-Beall,1976,C,SF,Boys
x-Beall,1981,C,SF,Boys
x-Beall,1994,1A,SF,Boys
x-Beall,1985,C,QF,Boys
x-Beall,1990,1A,QF,Boys
x-Beall,1995,1A,QF,Boys
x-Beall,2005,1AW,RR,Boys
x-Beall,2006,1AW,RS,Boys
Bel Air,1982,B,SF,Boys
Bel Air,2004,3AN,SF,Boys
Bel Air,1998,3A,QF,Boys
Bel Air,2003,3AN,RR,Boys
Bel Air,2014,3AN,RR,Boys
Bel Air,2015,4AN,RS,Boys
Bel Air,2016,4AN,RS,Boys
Bel Air,2021,3AN,RR1,Boys
Bel Air,2022,3AN,RR2,Boys
Bel Air,2023,3AN,RR2,Boys
James M. Bennett,1982,B,CH,Boys
James M. Bennett,1983,C,CH,Boys
James M. Bennett,1985,C,CH,Boys
James M. Bennett,1984,C,RU,Boys
James M. Bennett,1987,B,SF,Boys
James M. Bennett,1990,2A,SF,Boys
James M. Bennett,1986,C,QF,Boys
James M. Bennett,1988,2A,QF,Boys
James M. Bennett,1989,2A,QF,Boys
James M. Bennett,2018,3AE,RR,Boys
James M. Bennett,2003,2AE,RS,Boys
James M. Bennett,2009,3AE,RS,Boys
James M. Bennett,2015,3AE,RS,Boys
James M. Bennett,2017,3AE,RS,Boys
James M. Bennett,2019,3AS,RR1,Boys
James M. Bennett,2021,3AE,RR1,Boys
James M. Bennett,2022,3AE,RR1,Boys
James M. Bennett,2023,2AE,RR1,Boys
Bethesda-Chevy Chase,1995,2A,SF,Boys
Bethesda-Chevy Chase,2023,4AN,QF,Boys
Bethesda-Chevy Chase,2011,4AW,RS,Boys
Bethesda-Chevy Chase,2012,4AW,RS,Boys
Bethesda-Chevy Chase,2021,4AW,RR1,Boys
Bethesda-Chevy Chase,2022,4AW,RR1,Boys
Bladensburg,1990,3A,QF,Boys
Bladensburg,2021,4AN,RR1,Boys
Bladensburg,2022,4AN,RR1,Boys
Bladensburg,2023,4AS,RR1,Boys
Montgomery Blair,2021,4AN,QF,Boys
Montgomery Blair,2022,4AN,QF,Boys
Montgomery Blair,2014,4AW,RR,Boys
Montgomery Blair,2015,4AW,RS,Boys
Montgomery Blair,2016,4AW,RS,Boys
Montgomery Blair,2023,4AN,RR2,Boys
Montgomery Blair,2019,4AN,RR1,Boys
James Hubert Blake,2023,4A/3AS,SF,Boys
James Hubert Blake,2021,4A/3AS,QF,Boys
James Hubert Blake,2022,4A/3AS,QF,Boys
James Hubert Blake,2012,4AN,RR,Boys
James Hubert Blake,2016,3AS,RS,Boys
James Hubert Blake,2017,3AW,RS,Boys
James Hubert Blake,2018,3AW,RS,Boys
James Hubert Blake,2019,3AW,RR1,Boys
Bohemia Manor,2002,1A,CH,Boys
Bohemia Manor,1985,C,SF,Boys
Bohemia Manor,1988,1A,SF,Boys
Bohemia Manor,1994,1A,QF,Boys
Bohemia Manor,1998,1A,QF,Boys
Bohemia Manor,1999,1A,QF,Boys
Bohemia Manor,2022,1AE,QF,Boys
Bohemia Manor,2010,1AE,RR,Boys
Bohemia Manor,2017,1AE,RR,Boys
Bohemia Manor,2006,1AE,RS,Boys
Bohemia Manor,2008,1AE,RS,Boys
Bohemia Manor,2009,1AE,RS,Boys
Bohemia Manor,2012,1AE,RS,Boys
Bohemia Manor,2013,1AE,RS,Boys
Bohemia Manor,2014,1AE,RS,Boys
Bohemia Manor,2015,1AN,RS,Boys
Bohemia Manor,2016,1AE,RS,Boys
Bohemia Manor,2021,1AE,RR2,Boys
Bohemia Manor,2023,1AE,RR2,Boys
Boonsboro,1993,1A,CH,Boys
Boonsboro,1994,1A,RU,Boys
Boonsboro,1975,B,SF,Boys
Boonsboro,2001,1A,SF,Boys
Boonsboro,2021,2A/1AW,QF,Boys
Boonsboro,2011,1AW,RR,Boys
Boonsboro,2005,1AW,RS,Boys
Boonsboro,2006,1AW,RS,Boys
Boonsboro,2007,1AW,RS,Boys
Boonsboro,2008,1AW,RS,Boys
Boonsboro,2009,1AW,RS,Boys
Boonsboro,2012,1AW,RS,Boys
Boonsboro,2015,1AW,RS,Boys
Boonsboro,2016,1AW,RS,Boys
Boonsboro,2017,1AW,RS,Boys
Boonsboro,2018,1AW,RS,Boys
Boonsboro,2019,1AW,RR2,Boys
Boonsboro,2022,2A/1AW,RR2,Boys
Boonsboro,2023,1AN,RR2,Boys
Bowie,2001,4A,CH,Boys
Bowie,1976,AA,RU,Boys
Bowie,1979,AA,SF,Boys
Bowie,1987,AA,SF,Boys
Bowie,1985,AA,QF,Boys
Bowie,1986,AA,QF,Boys
Bowie,2006,4AS,RS,Boys
Bowie,2015,4AS,RS,Boys
Bowie,2019,4AS,RR2,Boys
Bowie,2021,4AS,RR2,Boys
Bowie,2023,4AS,RR2,Boys
Bowie,2022,4AS,RR1,Boys
Broadneck,2003,4AE,RU,Boys
Broadneck,2023,4AE,RU,Boys
Broadneck,1998,3A,SF,Boys
Broadneck,2000,4A,SF,Boys
Broadneck,2004,4AE,SF,Boys
Broadneck,2006,4AE,SF,Boys
Broadneck,2010,4AE,SF,Boys
Broadneck,2015,4AE,SF,Boys
Broadneck,2022,4AE,SF,Boys
Broadneck,1997,3A,QF,Boys
Broadneck,2001,4A,QF,Boys
Broadneck,2002,4A,QF,Boys
Broadneck,2021,4AE,QF,Boys
Broadneck,2007,4AE,RR,Boys
Broadneck,2016,4AE,RR,Boys
Broadneck,2017,4AE,RR,Boys
Broadneck,2013,4AE,RS,Boys
Broadneck,2014,4AE,RS,Boys
Broadneck,2018,4AE,RS,Boys
Broadneck,2019,4AE,RR1,Boys
x-Brooklyn Park,1983,C,SF,Boys
Brunswick,1999,1A,RU,Boys
Brunswick,2005,1AN,SF,Boys
Brunswick,2010,1AN,SF,Boys
Brunswick,2012,1AW,SF,Boys
Brunswick,2022,1AN,SF,Boys
Brunswick,1985,C,QF,Boys
Brunswick,1987,C,QF,Boys
Brunswick,1992,1A,QF,Boys
Brunswick,1995,1A,QF,Boys
Brunswick,1998,1A,QF,Boys
Brunswick,2021,1AN,QF,Boys
Brunswick,2011,1AW,RS,Boys
Brunswick,2019,1AW,RR1,Boys
Brunswick,2023,1AN,RR1,Boys
Calvert,2000,3A,CH,Boys
Calvert,2023,2A/1AS,RU,Boys
Calvert,2002,3A,SF,Boys
Calvert,2016,2AS,SF,Boys
Calvert,2022,2A/1AS,SF,Boys
Calvert,2015,2AS,RS,Boys
Calvert,2019,2A,RR2,Boys
Calvert,2021,2A/1AS,RR2,Boys
Cambridge-South Dorchester,1979,B,CH,Boys
Cambridge-South Dorchester,1995,1A,CH,Boys
Cambridge-South Dorchester,1996,1A,CH,Boys
Cambridge-South Dorchester,1976,B,RU,Boys
Cambridge-South Dorchester,1977,B,RU,Boys
Cambridge-South Dorchester,1978,B,RU,Boys
Cambridge-South Dorchester,1984,B,RU,Boys
Cambridge-South Dorchester,1992,1A,RU,Boys
Cambridge-South Dorchester,1974,B,SF,Boys
Cambridge-South Dorchester,1975,B,SF,Boys
Cambridge-South Dorchester,1983,B,SF,Boys
Cambridge-South Dorchester,1985,B,SF,Boys
Cambridge-South Dorchester,1993,2A,SF,Boys
Cambridge-South Dorchester,1994,2A,SF,Boys
Cambridge-South Dorchester,1997,1A,SF,Boys
Cambridge-South Dorchester,1998,1A,SF,Boys
Cambridge-South Dorchester,1999,1A,SF,Boys
Cambridge-South Dorchester,2013,1AE,SF,Boys
Cambridge-South Dorchester,2014,1AE,SF,Boys
Cambridge-South Dorchester,2019,1AE,SF,Boys
Cambridge-South Dorchester,2023,1AE,SF,Boys
Cambridge-South Dorchester,1987,B,QF,Boys
Cambridge-South Dorchester,1991,1A,QF,Boys
Cambridge-South Dorchester,2000,1A,QF,Boys
Cambridge-South Dorchester,2011,1AE,RR,Boys
Cambridge-South Dorchester,2012,1AE,RR,Boys
Cambridge-South Dorchester,2015,1AE,RR,Boys
Cambridge-South Dorchester,2016,1AE,RR,Boys
Cambridge-South Dorchester,2003,1AE,RS,Boys
Cambridge-South Dorchester,2005,1AE,RS,Boys
Cambridge-South Dorchester,2007,1AE,RS,Boys
Cambridge-South Dorchester,2008,1AE,RS,Boys
Cambridge-South Dorchester,2010,1AE,RS,Boys
Cambridge-South Dorchester,2017,1AE,RS,Boys
Cambridge-South Dorchester,2018,1AE,RS,Boys
Cambridge-South Dorchester,2021,2A/1AE,RR2,Boys
Cambridge-South Dorchester,2022,2A/1AE,RR1,Boys
Carver Vocational-Technical,2005,3AN,RS,Boys
Carver Vocational-Technical,2009,1AS,RS,Boys
Carver Vocational-Technical,2013,2AN,RS,Boys
Carver Vocational-Technical,2019,1AN,RR1,Boys
Carver Vocational-Technical,2021,2A/1AN,RR1,Boys
Carver Vocational-Technical,2022,2A/1AN,RR1,Boys
Carver Vocational-Technical,2023,2A/1AE,RR1,Boys
Catoctin,2009,1AN,CH,Boys
Catoctin,2019,1AW,CH,Boys
Catoctin,1982,C,SF,Boys
Catoctin,1986,C,SF,Boys
Catoctin,2008,1AN,SF,Boys
Catoctin,2023,1AN,QF,Boys
Catoctin,2003,1AW,RR,Boys
Catoctin,2007,1AN,RR,Boys
Catoctin,2018,1AW,RR,Boys
Catoctin,2005,1AN,RS,Boys
Catoctin,2006,1AN,RS,Boys
Catoctin,2013,2AW,RS,Boys
Catoctin,2021,1AN,RR1,Boys
Catoctin,2022,1AN,RR1,Boys
Catonsville,2011,4AN,SF,Boys
Catonsville,2005,3AN,RR,Boys
Catonsville,2007,3AN,RR,Boys
Catonsville,2004,3AN,RS,Boys
Catonsville,2010,3AN,RS,Boys
Catonsville,2012,4AN,RS,Boys
Catonsville,2019,4AN,RR1,Boys
Catonsville,2021,4A/3AN,RR1,Boys
Catonsville,2022,4A/3AN,RR1,Boys
Catonsville,2023,4A/3AN,RR1,Boys
Centennial,1980,B,SF,Boys
Centennial,2021,3AS,RR1,Boys
Centennial,2022,3AS,RR1,Boys
Centennial,2023,2AW,RR1,Boys
Central,2021,2A/1AN,RR1,Boys
Central,2022,2A/1AN,RR1,Boys
Central,2023,2A/1AE,RR1,Boys
Century,2008,2AW,SF,Boys
Century,2009,2AW,RS,Boys
Century,2016,2AW,RS,Boys
Century,2018,2AW,RS,Boys
Century,2019,2AW,RR1,Boys
Century,2021,2AW,RR1,Boys
Century,2022,2AW,RR1,Boys
Century,2023,2A/1AW,RR1,Boys
Chesapeake - AA,2018,3AE,SF,Boys
Chesapeake - AA,2023,3AS,QF,Boys
Chesapeake - AA,2015,3AE,RS,Boys
Chesapeake - AA,2017,3AE,RS,Boys
Chesapeake - AA,2022,3AE,RR2,Boys
Chesapeake - AA,2019,3AS,RR1,Boys
Chesapeake - BC,1984,B,SF,Boys
Chesapeake - BC,2021,3AE,SF,Boys
Chesapeake - BC,1990,2A,QF,Boys
Chesapeake - BC,1991,2A,QF,Boys
Chesapeake - BC,1992,2A,QF,Boys
Chesapeake - BC,2009,2AN,RR,Boys
Chesapeake - BC,2011,2AN,RR,Boys
Chesapeake - BC,2004,1AN,RS,Boys
Chesapeake - BC,2007,1AN,RS,Boys
Chesapeake - BC,2008,1AN,RS,Boys
Chesapeake - BC,2017,1AN,RS,Boys
Chesapeake - BC,2021,2A/1AN,RR1,Boys
Chesapeake - BC,2022,2A/1AN,RR1,Boys
Chesapeake - BC,2023,2A/1AN,RR1,Boys
Chopticon,2000,3A,SF,Boys
Chopticon,1991,2A,QF,Boys
Chopticon,2007,3AS,RS,Boys
Chopticon,2010,3AS,RS,Boys
Chopticon,2011,3AS,RS,Boys
Chopticon,2014,3AS,RS,Boys
Chopticon,2017,3AS,RS,Boys
Chopticon,2022,4A/3AE,RR2,Boys
Winston Churchill,1976,AA,CH,Boys
Winston Churchill,1977,AA,CH,Boys
Winston Churchill,1982,AA,RU,Boys
Winston Churchill,1985,AA,RU,Boys
Winston Churchill,1988,4A,RU,Boys
Winston Churchill,1993,4A,RU,Boys
Winston Churchill,1995,3A,RU,Boys
Winston Churchill,1974,AA,SF,Boys
Winston Churchill,1975,AA,SF,Boys
Winston Churchill,1984,AA,SF,Boys
Winston Churchill,2023,4AW,SF,Boys
Winston Churchill,2022,4AW,QF,Boys
Winston Churchill,2004,4AW,RR,Boys
Winston Churchill,2011,4AW,RR,Boys
Winston Churchill,2012,4AW,RS,Boys
Winston Churchill,2018,4AW,RS,Boys
Winston Churchill,2021,4AW,RR2,Boys
Baltimore City College,1996,2A,SF,Boys
Baltimore City College,2001,2A,SF,Boys
Baltimore City College,2005,3AN,SF,Boys
Baltimore City College,2023,3AN,SF,Boys
Baltimore City College,1993,3A,QF,Boys
Baltimore City College,2002,2A,QF,Boys
Baltimore City College,2021,3AS,QF,Boys
Baltimore City College,2006,3AN,RR,Boys
Baltimore City College,2010,2AN,RR,Boys
Baltimore City College,2007,2AN,RS,Boys
Baltimore City College,2013,3AE,RS,Boys
Baltimore City College,2014,3AE,RS,Boys
Baltimore City College,2019,3AN,RR1,Boys
Clarksburg,2007,2AW,SF,Boys
Clarksburg,2008,2AW,RS,Boys
Clarksburg,2013,4AW,RS,Boys
Clarksburg,2014,4AW,RS,Boys
Clarksburg,2019,4AW,RR1,Boys
Clarksburg,2021,4AW,RR1,Boys
Clarksburg,2022,4AW,RR1,Boys
Clarksburg,2023,4AW,RR1,Boys
Clear Spring,2019,1AW,RR1,Boys
Clear Spring,2022,1AW,RR1,Boys
Clear Spring,2023,1AW,RR1,Boys
Crofton,2021,3AE,RR1,Boys
Crofton,2022,3AE,RR1,Boys
Crofton,2023,4A/3AE,RR1,Boys
Crossland,1992,4A,RU,Boys
Crossland,1977,AA,SF,Boys
Crossland,1978,AA,SF,Boys
Crossland,1995,3A,SF,Boys
Crossland,2018,2AN,RS,Boys
Crossland,2019,2AS,RR1,Boys
Crossland,2021,2A/1AS,RR1,Boys
Crossland,2022,2A/1AS,RR1,Boys
Crossland,2023,2AS,RR1,Boys
Damascus,1981,B,CH,Boys
Damascus,1992,2A,CH,Boys
Damascus,1993,2A,CH,Boys
Damascus,1996,3A,CH,Boys
Damascus,2003,4AW,CH,Boys
Damascus,2005,4AW,CH,Boys
Damascus,2007,3AW,CH,Boys
Damascus,2015,3AW,CH,Boys
Damascus,2016,3AW,CH,Boys
Damascus,2017,2AW,CH,Boys
Damascus,2019,3AW,CH,Boys
Damascus,2022,3AW,CH,Boys
Damascus,1989,2A,RU,Boys
Damascus,1990,2A,RU,Boys
Damascus,2004,4AW,RU,Boys
Damascus,2014,3AW,RU,Boys
Damascus,1999,3A,SF,Boys
Damascus,2002,4A,SF,Boys
Damascus,2010,3AW,SF,Boys
Damascus,1987,B,QF,Boys
Damascus,1998,3A,QF,Boys
Damascus,2000,3A,QF,Boys
Damascus,2001,4A,QF,Boys
Damascus,2011,3AW,RR,Boys
Damascus,2018,2AW,RR,Boys
Damascus,2006,4AW,RS,Boys
Damascus,2008,3AW,RS,Boys
Damascus,2009,3AW,RS,Boys
Damascus,2012,3AW,RS,Boys
Damascus,2013,3AW,RS,Boys
Damascus,2021,3AW,RR2,Boys
Damascus,2023,2AW,RR2,Boys
Stephen Decatur,2023,2AE,CH,Boys
Stephen Decatur,1988,1A,SF,Boys
Stephen Decatur,2004,2AE,SF,Boys
Stephen Decatur,2022,2AE,SF,Boys
Stephen Decatur,2000,2A,QF,Boys
Stephen Decatur,2002,2A,QF,Boys
Stephen Decatur,2021,2AE,QF,Boys
Stephen Decatur,2003,2AE,RR,Boys
Stephen Decatur,2005,2AE,RR,Boys
Stephen Decatur,2008,3AE,RS,Boys
Stephen Decatur,2010,3AE,RS,Boys
Stephen Decatur,2011,3AE,RS,Boys
Stephen Decatur,2013,3AS,RS,Boys
Digital Harbor,2007,1AS,RS,Boys
Digital Harbor,2011,3AN,RS,Boys
Digital Harbor,2019,2AN,RR1,Boys
Digital Harbor,2021,3AS,RR1,Boys
Digital Harbor,2022,3AS,RR1,Boys
Digital Harbor,2023,4A/3AN,RR1,Boys
Frederick Douglass - B,2013,1AS,RU,Boys
Frederick Douglass - B,2014,1AS,RU,Boys
Frederick Douglass - B,2010,2AN,RS,Boys
Frederick Douglass - B,2012,2AN,RS,Boys
Frederick Douglass - B,2018,1AN,RS,Boys
Frederick Douglass - B,2021,1AS,RR2,Boys
Frederick Douglass - B,2022,1AS,RR2,Boys
Frederick Douglass - B,2019,1AN,RR1,Boys
Frederick Douglass - B,2023,1AS,RR1,Boys
Frederick Douglass - PG,2014,2AS,CH,Boys
Frederick Douglass - PG,2021,2AS,CH,Boys
Frederick Douglass - PG,1975,A,RU,Boys
Frederick Douglass - PG,2011,2AS,RU,Boys
Frederick Douglass - PG,2012,2AS,RU,Boys
Frederick Douglass - PG,2018,1AS,RU,Boys
Frederick Douglass - PG,1990,2A,SF,Boys
Frederick Douglass - PG,1991,3A,SF,Boys
Frederick Douglass - PG,1993,3A,SF,Boys
Frederick Douglass - PG,2000,3A,SF,Boys
Frederick Douglass - PG,2004,3AE,SF,Boys
Frederick Douglass - PG,2005,4AS,SF,Boys
Frederick Douglass - PG,2009,2AS,SF,Boys
Frederick Douglass - PG,1992,3A,QF,Boys
Frederick Douglass - PG,1995,3A,QF,Boys
Frederick Douglass - PG,1996,3A,QF,Boys
Frederick Douglass - PG,2019,2AS,QF,Boys
Frederick Douglass - PG,2003,3AE,RR,Boys
Frederick Douglass - PG,2008,2AS,RR,Boys
Frederick Douglass - PG,2017,1AS,RR,Boys
Frederick Douglass - PG,2006,2AS,RS,Boys
Frederick Douglass - PG,2007,2AS,RS,Boys
Frederick Douglass - PG,2010,2AS,RS,Boys
Frederick Douglass - PG,2013,2AS,RS,Boys
Frederick Douglass - PG,2022,2AS,RR2,Boys
Frederick Douglass - PG,2023,2A/1AS,RR2,Boys
x-WEB DuBois,2008,1AS,RR,Boys
x-WEB DuBois,2003,1AS,RS,Boys
x-WEB DuBois,2004,1AS,RS,Boys
x-WEB DuBois,2011,1AS,RS,Boys
x-WEB DuBois,2012,1AS,RS,Boys
x-WEB DuBois,2013,1AS,RS,Boys
Dulaney,1978,AA,SF,Boys
Dulaney,2004,4AN,RS,Boys
Dulaney,2022,4A/3AN,RR2,Boys
Dulaney,2019,4AN,RR1,Boys
Dulaney,2023,4A/3AN,RR1,Boys
Paul Laurence Dunbar,1994,2A,CH,Boys
Paul Laurence Dunbar,1995,3A,CH,Boys
Paul Laurence Dunbar,2004,1AS,CH,Boys
Paul Laurence Dunbar,2006,1AS,CH,Boys
Paul Laurence Dunbar,2007,1AS,CH,Boys
Paul Laurence Dunbar,2008,1AS,CH,Boys
Paul Laurence Dunbar,2010,1AS,CH,Boys
Paul Laurence Dunbar,2011,1AS,CH,Boys
Paul Laurence Dunbar,2012,1AS,CH,Boys
Paul Laurence Dunbar,2017,1AN,CH,Boys
Paul Laurence Dunbar,2021,2A/1AN,CH,Boys
Paul Laurence Dunbar,2022,2A/1AN,CH,Boys
Paul Laurence Dunbar,2023,2A/1AE,CH,Boys
Paul Laurence Dunbar,1997,2A,RU,Boys
Paul Laurence Dunbar,2014,2AN,RU,Boys
Paul Laurence Dunbar,2019,1AN,RU,Boys
Paul Laurence Dunbar,1993,2A,SF,Boys
Paul Laurence Dunbar,1996,3A,SF,Boys
Paul Laurence Dunbar,2003,1AS,SF,Boys
Paul Laurence Dunbar,2005,1AS,SF,Boys
Paul Laurence Dunbar,2009,1AS,SF,Boys
Paul Laurence Dunbar,2015,2AN,SF,Boys
Paul Laurence Dunbar,2016,2AN,SF,Boys
Paul Laurence Dunbar,2018,1AN,SF,Boys
Paul Laurence Dunbar,1999,2A,QF,Boys
Paul Laurence Dunbar,2002,1A,QF,Boys
Paul Laurence Dunbar,2013,2AN,RR,Boys
Dundalk,2015,3AN,RU,Boys
Dundalk,2021,4A/3AN,RU,Boys
Dundalk,2022,4A/3AN,SF,Boys
Dundalk,1990,3A,QF,Boys
Dundalk,2002,3A,QF,Boys
Dundalk,2012,2AN,RR,Boys
Dundalk,2018,3AN,RR,Boys
Dundalk,2003,3AN,RS,Boys
Dundalk,2009,2AN,RS,Boys
Dundalk,2010,2AN,RS,Boys
Dundalk,2011,2AN,RS,Boys
Dundalk,2016,3AN,RS,Boys
Dundalk,2019,3AN,RR2,Boys
Dundalk,2023,4AE,RR2,Boys
DuVal,1988,3A,CH,Boys
DuVal,1989,3A,SF,Boys
DuVal,2014,4AS,SF,Boys
DuVal,2013,4AS,RR,Boys
DuVal,2007,4AS,RS,Boys
DuVal,2012,4AS,RS,Boys
Eastern Technical,2009,2AN,CH,Boys
Eastern Technical,1998,3A,RU,Boys
Eastern Technical,2007,2AN,RU,Boys
Eastern Technical,2008,2AN,RU,Boys
Eastern Technical,2003,2AN,SF,Boys
Eastern Technical,2010,2AN,SF,Boys
Eastern Technical,1997,3A,QF,Boys
Eastern Technical,2000,3A,QF,Boys
Eastern Technical,2001,2A,QF,Boys
Eastern Technical,2004,2AN,RR,Boys
Eastern Technical,2014,2AN,RR,Boys
Eastern Technical,2018,2AN,RR,Boys
Eastern Technical,2005,2AN,RS,Boys
Eastern Technical,2006,2AN,RS,Boys
Eastern Technical,2015,2AN,RS,Boys
Eastern Technical,2019,2AN,RR1,Boys
Eastern Technical,2021,2AN,RR1,Boys
Eastern Technical,2022,2AN,RR1,Boys
